BTC,ETH,BNB,SOL,USDC,XRP,DOGE,ADA,SHIB,AVAX,TRX,DOT,LINK,BCH,NEAR,MATIC,UNI,LTC,PEPE,DAI,ICP,ETC,APT,RNDR,STX,HBAR,XMR,FIL,ATOM,INJ,XLM,IMX,ARB,FDUSD,WIF,GRT,TAO,SUI,OP,VET,AR,FLOKI,MKR
42941.1,2343.01,307.6,101.4,1.0001,0.5107,0.07972,0.5136,9.05e-06,35.22,0.11206,6.836,15.475,237.4,3.011,0.7993,6.257,67.47,1.01e-06,,11.73,25.32,9.0678,4.603,1.5363,0.0729,160.3,5.158,9.408,35.42,0.1127,2.0066,1.885,0.9996,,0.1584,,1.5448,3.157,0.02858,8.772,2.856e-05,2024.0
42580.0,2283.14,300.5,96.96,1.0006,0.5033,0.07875,0.4976,8.94e-06,33.17,0.11226,6.654,15.429,234.3,2.823,0.7872,6.001,66.76,9.2e-07,,11.471,24.33,8.8503,4.323,1.5008,0.0696,163.7,4.959,9.108,33.87,0.11,1.9325,1.7635,0.9996,,0.1546,,1.5187,2.901,0.02823,8.427,2.756e-05,1961.0
43082.94,2304.28,300.2,97.81,1.0003,0.5058,0.07937,0.5078,9.03e-06,33.85,0.11564,6.791,17.19,236.6,2.855,0.8113,6.049,67.54,9.2e-07,,11.668,24.42,9.2326,4.593,1.4964,0.0703,166.3,4.974,9.136,33.84,0.1099,2.0419,1.7845,1.0,,0.1543,,1.5259,2.976,0.02847,8.418,2.817e-05,1995.0
43200.0,2309.06,301.4,100.58,1.0005,0.5105,0.07928,0.5146,9.08e-06,36.76,0.11629,6.947,17.828,236.3,2.9,0.7998,6.136,68.05,9.3e-07,,12.744,25.13,9.4106,4.59,1.5575,0.0692,169.0,5.046,9.167,34.61,0.1104,2.1788,1.7928,0.9994,,0.156,,1.4625,3.015,0.02934,8.527,2.803e-05,1982.0
43011.09,2296.49,299.7,97.96,1.0003,0.5186,0.07874,0.5124,9.11e-06,35.95,0.11724,6.825,17.658,241.0,2.815,0.7849,6.108,68.81,9.3e-07,,12.737,24.86,9.1565,4.722,1.5238,0.0693,165.5,5.065,9.048,33.06,0.111,2.121,1.7656,0.9997,,0.1563,,1.4377,2.961,0.02854,8.529,2.805e-05,2006.0
42582.88,2289.79,304.7,95.49,1.0004,0.5032,0.07831,0.4934,8.9e-06,34.87,0.11843,6.666,18.153,235.2,2.754,0.7735,5.981,66.94,8.8e-07,,12.739,24.99,8.8369,4.646,1.4685,0.0684,165.9,4.928,8.966,32.35,0.1092,2.1056,1.7315,1.0002,,0.1523,,1.4647,2.994,0.02767,8.434,2.735e-05,1994.0
42708.7,2301.83,301.2,95.66,1.0013,0.5069,0.07835,0.4944,8.91e-06,34.55,0.11898,6.737,19.164,235.8,2.751,0.7804,6.005,67.7,9e-07,,12.245,24.31,8.6662,4.406,1.4829,0.0695,165.4,4.998,9.058,31.98,0.1085,2.2998,1.7356,1.0,,0.1524,,1.576,3.097,0.02782,8.305,2.742e-05,1952.0
43098.95,2372.64,302.7,96.88,1.0003,0.505,0.07849,0.4983,8.86e-06,34.16,0.12101,6.807,18.287,235.2,2.736,0.8054,6.278,68.29,9e-07,,12.145,24.73,8.5957,4.265,1.5023,0.0752,105.4,5.07,9.13,31.2,0.1082,2.2095,1.8307,0.9999,,0.159,,1.5178,3.325,0.02799,7.871,2.795e-05,1951.0
44349.6,2425.1,307.3,101.14,1.0002,0.5138,0.08013,0.5022,9.06e-06,35.28,0.1236,6.941,18.817,240.6,2.87,0.8343,6.393,68.62,9.7e-07,,12.319,25.17,8.7898,4.471,1.6622,0.0758,129.6,5.186,9.597,32.94,0.1091,2.3227,1.8991,1.0001,,0.1608,,1.5411,3.363,0.02878,8.345,2.855e-05,1948.0
45288.65,2419.55,319.2,102.76,0.9999,0.5147,0.07987,0.5304,9.21e-06,35.42,0.12189,7.013,18.212,244.6,2.922,0.8337,6.316,70.53,9.5e-07,,12.187,25.62,8.7575,4.436,1.7857,0.0761,128.7,5.225,9.641,32.73,0.1098,2.2869,1.8628,1.0028,,0.1644,,1.5262,3.302,0.02886,8.368,2.879e-05,1939.0
