BTC,ETH,BNB,SOL,USDC,XRP,DOGE,ADA,SHIB,AVAX,LINK,DOT,TRX,BCH,NEAR,MATIC,UNI,LTC,PEPE,ICP,DAI,ETC,RNDR,APT,HBAR,IMX,WIF,ATOM,FIL,ARB,XLM,STX,AR,XMR,GRT,FLOKI,FDUSD,TAO,OP,SUI,NOT,VET,MKR
22826.15,1566.2,307.2,23.96,,0.3934,0.08837,0.3725,1.152e-05,19.74,6.914,6.19,0.06227,131.2,2.307,1.0875,6.517,91.37,,5.776,,21.35,1.205,17.2225,0.064,0.648,,13.073,5.098,,0.0899,0.269,10.08,175.9,0.0871,,,,2.125,,,0.02305,635.0
23125.13,1585.33,312.0,23.92,,0.4057,0.09612,0.3902,1.181e-05,19.8,6.952,6.26,0.06218,133.3,2.328,1.1094,6.558,94.09,,5.871,,21.69,1.41,16.7445,0.0645,0.752,,13.362,5.229,,0.0906,0.276,10.53,177.5,0.0887,,,,2.166,,,0.02312,656.0
23732.66,1641.68,317.0,25.0,,0.4131,0.09403,0.397,1.197e-05,20.95,7.214,6.467,0.06312,136.2,2.427,1.1937,6.798,100.33,,6.058,,22.35,1.522,18.264,0.0696,0.806,,14.925,5.687,,0.0923,0.285,12.39,177.7,0.0931,,,,2.725,,,0.02478,669.0
23488.94,1643.12,323.5,24.32,,0.4098,0.09099,0.3981,1.214e-05,21.21,7.099,6.543,0.06383,136.7,2.444,1.181,7.11,98.64,,5.783,,22.42,1.715,17.2237,0.067,0.866,,14.407,5.473,,0.0918,0.283,12.08,173.1,0.0951,,,,2.798,,,0.0241,670.0
23431.9,1663.52,332.2,24.69,,0.4117,0.09293,0.4038,1.272e-05,21.36,7.294,7.008,0.06416,137.9,2.507,1.246,7.061,99.86,,5.865,,23.17,1.695,17.0157,0.0722,0.958,,14.992,5.675,,0.093,0.302,12.4,171.8,0.099,,,,3.101,,,0.02483,696.0
23326.84,1666.38,330.4,24.34,,0.4106,0.09567,0.3994,1.47e-05,21.04,7.237,6.873,0.06384,138.0,2.501,1.2545,7.204,98.51,,5.795,,23.81,1.674,16.4861,0.0733,0.911,,14.665,5.521,,0.0929,0.305,12.02,172.3,0.1138,,,,2.994,,,0.02491,699.0
22932.91,1629.02,327.8,23.47,,0.3984,0.09203,0.3923,1.43e-05,20.08,6.985,6.637,0.06411,134.4,2.386,1.2028,6.886,96.63,,5.621,,22.85,1.751,15.423,0.0699,0.893,,14.736,5.299,,0.0909,0.298,11.52,166.6,0.1327,,,,2.953,,,0.0242,694.0
22762.52,1614.29,324.3,22.66,,0.392,0.08955,0.3823,1.407e-05,19.58,6.832,6.494,0.06316,131.5,2.308,1.191,6.647,95.93,,5.446,,22.13,1.877,14.9482,0.0675,0.875,,14.143,5.125,,0.0889,0.294,11.0,164.5,0.129,,,,2.91,,,0.02391,693.0
23240.46,1671.03,333.0,23.82,,0.4036,0.09253,0.3989,1.439e-05,20.83,7.197,6.941,0.06577,135.9,2.493,1.2699,6.979,100.86,,5.849,,23.2,2.133,16.0525,0.0748,1.054,,14.957,5.537,,0.092,0.311,12.7,168.2,0.2085,,,,3.023,,,0.02595,790.0
22963.0,1650.43,328.2,23.22,,0.3975,0.09018,0.3942,1.375e-05,20.11,7.136,6.757,0.06695,131.6,2.639,1.3062,6.812,99.22,,5.725,,22.64,1.758,15.0804,0.0752,1.015,,15.151,5.442,,0.091,0.314,11.94,165.6,0.1751,,,,2.767,,,0.0258,782.0
